Nama,Sentimen,Ulasan
Ramadhan hakim,Negatif,stadion JIS kekurangan lahan parkir
ramdhani khoirullah,Positif,tribun nya tingginbet njir 😂
Ramosa👀,Positif,Luar biasa pak Presiden kita
RandomBoy,Negatif,siang itu semrawut daerah situ klo malem emang kaya di dubai
rangga!!;;,Positif,"Baru pertama kali liat stadium JIS waktu study tour ke duffan,parah baguss bangett biasanya suka liat² di video dan sekarang udah tau asli nyaGedeBgt"
ranggadwialfajri,Positif,"ANIES "" Saya akan membangun stadion untuk PERSIJA dan JAK MANIA"" , eh malah jadi tempat konser 🤣🤣🤣 . GINI MAU NYAPRES PAK?."
rano_ketaren,Positif,Jadi ngeri kalau stadion semegah ini akan dirusak oleh penonton yg tidak puas dg keputusan wasit seperti yg sering terjadi selama ini. Perbaiki jg mental suporter sepak bola kita.
Rara Mendem,Negatif,"Masih baru, kecermatan perawatannya masih harus di observasi lagi"
Rasjid Moersjid,Negatif,bangun stadion cuma buat konser anjay SELAMAT DATANG DI INDONESIA TERCINTAH INI🔥🔥🔥🔥🔥
raspi21_,Positif,Bagus
rasyaalfatan,Positif,"Kesini pas nonton konser jisphoria,stadionnya besar dan luas bgt.Fasilitasnya mungkin masih kurang untuk mushola dan toiletnya"
Ratna Firginia,Positif,Tempatnya sangat Luas banget
ratna sari,Positif,pak Anies kereen banget
Ratu Pucuk,Negatif,yg jual rumah disitu jd mahal anjir
Ray,Positif,mantaap pak jokowi
Raya Andika,Positif,masih menunggu Persija dan timnas main disana :)
Rayhan,Positif,Jakarta nii boss
rayy,Negatif,"Kocak lucu bgt, INI STADION SEPAKBOLA, SEHARUSNYA PERSIJA VS PERSIB DISINI. KOK JADI KONSER SI ."
re.roberto.s,Positif,Bagus banget tempatnya... Moga aja jalanan di sekitar cepet di perbaiki
REA REO DELIVERY,Positif,lebih bangga lgi klo di samping situ ada masjid yg besar nya sama ky stadion nya dan banyak jamaahnya 😂
Rebahan success,Positif,wow seperti di luar negeri
reccaOlshop,Negatif,tapi atas nya angker ngeri tu besi nya
Recommended,Positif,"dilihat lihat, hampir kaya Allianz arena 😁"
Reds_zone🔴,Positif,Salah satu stadion sepak bola termegah di jakarta
Rejeb 888,Negatif,Belum pernah lihat TIMNAS live di stadion ini
Reko Saputra,Negatif,"Belum tau dalam ny krn saat berkunjung gk d buka utk umum, view luar gersang mungkin krn baru kali."
Rema Syelvita HS,Negatif,Kalau belum ada VAR nya sama aja stadion masih standard PSSI😂
RemonVL♉,Positif,Baru tau ada studion sekeren ini di indo😳
rendiee38,Negatif,"Nah si blackpink kan gak boleh di GBK, mending di JIS aja."
rendyarmanda92,Negatif,lapangan ini tdk bagus karena tdk sesuai fifa rumputnya sangat jelek. yg ngmong siapa ya bantu jwb soal nya lupa
rengga ghanesa,Positif,terbaik
rengga ghanesa,Positif,Standionnya... luas dan nyaman..
Reni Cahya,Positif,Mantap Pak Gubernur.
Renita Zenal,Negatif,PSSI lagi hemat 😂
reno,Negatif,tetangga sebelah punya ga ya
Reno,Negatif,"stadium bertaraf internasional tetapi setelah diguyur hujan muncul banyak spot genangan air, kemudian banyak sampah berserakan."
Reno Dwiheryana,Negatif,percuma dh klo negara sendiri ngak main 😢
renorenolisianus,Positif,"Stadion kelas internasional sih ini aslii keren parah, tapi di area luar stadion mohon ditambahkan tempat sampahnya di karnakan kita harus menjaga kebersihan satdion kita ini.Terimakasih😊😊"
Renu Arian,Positif,Megah nyaa
RepLicca _,Positif,Agak susah sinyall tapii tetep keren....Bangga jadi anak Jakarta
restie umayah,Positif,Perdana kesni dn wau megah bukan main...
revaade8,Positif,Luas dan megah
reval 378,Negatif,tapi kenapa ya jis belom lulus standar fifa?
RevZx209,Positif,Tp skrg tiap hari lewat JIS udh ga di nyalain lagi lampu warna warni nya padahal waktu dulu itu nyala suka takjub lewat situ
rez12,Positif,gila vibes nya kek di luar negeri tapi kenapa PSSI katanya kok JIS ini GK standar fifa ya ad yang tau knp ??
REZA,Positif,"Kesini Awal Tahun 2022, pembangunan nya Hampir Rampung. Berharap kualitas stadion nya Terbaik..."
Reza Ali,Positif,JIS keren banget. Terimakasih Pak Anis
Reza Apriandi,Positif,"2050, aku kestadion naik kapal"
'reza gak asik🎟️,Negatif,Kantong parkir dan akses kendraan umum harus segera diselesaikan
Reza Pahlevi,Positif,"The best Indonesian stadium ever. Vibesnya international banget, mohon dijaga dari tangan tangan nakal. Semoga stadion ini jadi standar stadion di Indonesia nanti kelak. Aamiin..."
Reza Reff,Negatif,"Masih banyak genangan air di area depan dan atas stadion, (sangat disayangkan)"
Reza Zulmi,Negatif,Stadion bukan untuk sepakbola sayang sekali mewah megah berkualitas tapi tidak d akui PSSI
rezaisna_,Negatif,stadiun blackpink!
Rezarmdnisptra,Negatif,sound pildun😭😭😭😭
RezkiNurjafri,Negatif,Stadion khusus acara internasionalKalo dipake Liga takutnya cepet rusak
Rezky Ramdhany Senjaya,Negatif,Susah yaa qlo dah mau masuk Rana pemilu 😂😂
rezky_hernando,Negatif,Mmm bagus tp knp gak pernh di pake sepak bola antar negara??? 😂
rezqiano wahyudi,Positif,berasa di eropa😁
Rhaaaaa,Positif,gua udah pernah nonton di jis dong 😂
RhomaAprian,Positif,"Megaaaah bangeet,Gak perlu khawatir parkiran motor bisa d sekitaran hhihi"
riamande,Positif,"Baru bisa liat luarnya, yg pasti keren"
ricoganz132,Positif,Lapangannya keren fasilitas internasional
Ridha Hafiza,Positif,"stadion termegah di jakarta setelah gelora bung karno, semoga pembangunan stadion ini makin cepat terealisasikan agar kami para warga jakarta bisa berkunjung menonton dan mendukung tim kebanggaan kami bermain."
ridho ariansyah,Positif,Ok ni
ridho muhammad hamzah,Positif,"segitu bagus nya JIS Kbanggaan rakyat Indo, jangan bikin rakyat indo kecewa, kami rakyat indo pecinta bola ingin liat timnas main di JIS"
Ridhwan234🇮🇩,Positif,"Sangat bagus, stadion modern di Indonesia, minusnya railing pagar yang menghalangi pandangan di kursi paling depan, bisa di cek di setiap tier."
Ridwan Alfiansyah,Positif,Stadion baru di jakarta utara. Semoga bisa dibuka untuk umum dan menjadi kebanggan stadion jakarta
Ridwan Yusupa,Negatif,aura tangisan masyarakat indonesia yang terusir
ridwan123456784,Positif,Akan di kenang sepanjang masa. Terimakasih ABW atas stadionnya 🔥
Ridy Ary Saputra,Negatif,JIS jadi kandang ganjar
Rie Tachikawa,Positif,Royal Lounge dilengkapi dengan kaca anti peluru
riel yandi,Negatif,Kenapa Pembukaan JIS Mengadakan Konser B.T.S.???
RIEZKY FADILLAH,Negatif,pengen lihat timnas main di JIS. serasa di eropa.
Rif Lee Hyun,Negatif,"tolong perpanjang sty,bola indonesia banyak berubah di tangan diaa,"
rif4you,Positif,nh gitu dong indonesia jgn buat lapangan yg ada jaluar atlit nya aku bangga punya negara indo kalo kek gini 😅
RIFA'I,Negatif,"gak ada suporter juga gpp pak, kami cuma mau liat timnas main di stadion JIS🙏"
RIFA'I :),Positif,Proyek pembangunan yang memprioritaskan keselamatan dan kenyamanan
rifai achmad,Negatif,Semoga Rumah2 Liar di sekitaran Danau dan sungai Segera Di Gusur dan bisa di Gunakan / di Fungsikan buat Lahan Parkir dan Penghijauan
rifai pay,Positif,"Stadion termegah di jakarta. Bagus banget dan luas. Sayang masih bnyk yg masih proses finishing, tpi overall udah bagus. Berhrapa bnyk pohon yang ditanam kedepannya yaa,  biar makin enak klo olahraga di sini. Mohon dirawat teman teman jakarta."
rifaldi irianto,Negatif,rumput std jis memprihatinkan
rifaldiferdiansya,Negatif,enak ya jadi orang jakartaa🙃
rifanmaulid,Positif,negara tetangga iri melihat ini
rifkyniii_,Positif,"Tempatnya luas, pintu keluar masuknya tertata rapih"
Rifqy Abdurrohman,Positif,Niat pak anies itu bikin stadion yang bisa buat sholat berjamaah makanya itu nanti bisa tutup otomatis atapnya
RIJA 9 ☪,Negatif,minimal ada var lah 😅
RIJAL OK22,Negatif,stdn.jis kurang lampu LED
RIJAL-🇲🇨,Negatif,bagusan juga gbla kalo kata encib mah😂
rijstaffel,Negatif,berharap bgt persija maen sama klub thailand di jis🥰
rijstaffel,Positif,selain kebanggaan indonesia juga kebanggaan jakarta utara
Rika Amallia,Positif,Sangat keren hasil karya anak bangsa 👍👍👍🌹🌹🌹❤️
Rikhadhoh Busro,Negatif,Al jameer fc karawang
Riki Sahara,Positif,Stadion bertaraf internasional yg diresmikan pada tahun 2022
riki suhendar,Negatif,knp gk disini
rikysudarma1,Negatif,standar fifa dibawah standar pssi 😁
Rin Budiman,Positif,"MasyaAllah bagus bgt, bangunannya kokoh, cakep. Alhamdulillah banget bisa sholat ied disini"
Rina IKA OKTIANA,Positif,"Sangat menyenangkan, walau lelah naik trinunnya"
Rini Musda,Positif,Stadion megah dengan fasilitas standar internasional
Rio febriando,Negatif,Parah akses transportasi.
Rio Quiserto,Negatif,sayang tidak berstandart PSSI
Rio Vermansyah,Negatif,"WTS 1 Tiket Festival B, dm aja ya."
rionandaa,Positif,anti hujan
rionovian679,Negatif,"AWAL NYA BANGGA SAMA NIH STADION,TAPI MAKIN KESINI NGERASA JIJIK😂 KARENA KEBANYAKAN BUAT KONSER👏"
ririx42,Positif,super canggih dan modern ni jakarta internasional stadium menjadi resmi sebagai MARKAS PERSIJA JAKARTA 👍😍terimakasih pak gubenur anies baswedan dan jakpro beserta pengelolah nya #banggawargajakarta #indonesiajayaraya #jakartahajatan495 #thejakmania
Riski Alparezi,Positif,serasa di luar negeri
Rissz,Positif,stadion semegah ini pssi masih bilang belum layak dan belum standar fifa?
Riswan,Positif,Stadion baru kebanggaan warga jakarta dan indonesia 👍
Risyad Aulia,Negatif,elite kok ga masuk standar fifa? bingung gua🗿
Rival Siliwangi,Negatif,Tidur
Riyan Fc,Positif,"Malem minggu kesini cuman ngilangin penasaran doang, rame si di depannya ada festival kyk pasar malem, tapi di deket pintu utama deket halte sunyi sekali wkwkw"
Riyan Maulana,Negatif,TUKAN APA GW BILANG. KALO PEMBANGUNAN DAH SAMPE 95% PASTI BAKAL BANYAK TUKANG CLAIM😂😂
Riyan Rifa'ii,Negatif,"Terus stadion ni untuk siapa,,,yg selalu bilang krn politik gk di pake ,,,knp persija jarang jugk main di sni,,"
Riyan_Rhamadhan,Positif,"Stadion paling sempurna di Indonesia,Fasilitas standar FIFA,"
riza_0210,Positif,akses jalan terbatas
rizal _feb,Positif,KerenBersihMantapBerkelas
Rizal DB,Positif,oke sip penonton Arema lebih mudah masuk lapangan
Rizal Subakti,Positif,inget ya ini bukan standar PSSI
rizal_ndi,Negatif,itu hanya mimpi yang akan menjadi mimpi😭😭😭
rizalgans5388,Positif,"Untuk pertama kalinya jadi admin project. Ditempatkan di project pembangunan JIS, semoga bisa bermanfaat bagi banyak orang."
Rizka Rahmah Habibah,Positif,"Stadion megah kebanggaan jakarta ni. Sayang masi dalam penyelesaian pembangunan, jadi waktu itu (5 November 2022) belum diizinkan masuk ke dalam kawasan stadion."
Rizki Novirson,Positif,"Pengalaman bersejarah, bisa hadir di Grand Launching JIS Menyaksikan Persija klub kebanggaan"
Rizkie Rahmat,Positif,"Pengalaman bersejarah, bisa hadir di Grand Launching JIS Menyaksikan  klub kebanggaan"
Rizkie Rahmat,Positif,"Bagus, megah dan besar. kalau malam ada lampu yang bagus, kalau mau akses kesini naik krl agak susah, kalau naik busway lebih enak karna langsung ke stadionnya"
Rizky Aditio Saputra,Positif,Sangat rapi
Rizky Budiman,Negatif,Sering banget acara disini
Rizky Mauladi,Positif,MIRIP ALIANSI ARENA BAYER MUNCHEN
Rizky Muchtar,Negatif,Syudahh😍
rizkyamellia_,Negatif,Konser Dewa tgl 4 mulai jam berapa ya di JIS? Berapaan tiketnya? Beli dimana? Mohon info.
rizkylhakim,Positif,pas tadi ada kilat nya sungguh kerren
rizkypehong,Negatif,yang juga di harap di iringi juga dengan perstasi
rizkyy,Negatif,"bayangin aja dulu,misal rumput JIS seperti rumput GBK sekaraang😂"
rizqiawant87,Negatif,coba sorot rumputnya😅😅😅
rizqiawant87,Positif,Bagus banget stadionnya padahal belum jadi
Riztio Adji adji,Positif,Semoga kita bisa menjaga seluruh fasilitas di indonesia
rjnas,Positif,"Alhamdulillah....JAKARTA BAHAGIA WARGANYA.Semoga Rakyat bisa sama sama menjaga JIS agar tetep bersih,rapi dan indah."
RJP- suka cari.,Negatif,indonesia vs argentina main di JIS mna pak
"Rk,Mak Lano",Positif,Bisa yuk undang bangtan
rkive🐨,Positif,Anjir gua kira luar negeri 🗿
Robby Dewantara,Positif,"Sinyal susah banged di sini, bahkan disekitarannya juga ga ada sinyal.Untuk toiletnya sih bagus, cuma belum bersih aja."
Robby Kennedy,Negatif,tambahin var dong
Robby septian 😌,Negatif,Banyak air yg tergenang ..  menggangu untuk jalan sehat.
Roby Asmara,Positif,cocoknya buat sholat sja ni
rocket,Positif,tempatnya bagus dan benar benar arsitrl bangunannya keren..dan yg terpenting dgn di bangunnya jis banyak warg sekitar yanh terbuka jalan untuk usaha krn membaca peluang besar dari banyaknya pegawai dan pengunjung yang akan datang..smoga betmanfaat tuk semua
Rodiannauli Pane,Negatif,tattapiii kan kalo mau standar PSSI harus becek bangh 🤡😂
Rois Korniawan,Positif,Keren stadion nya besar dan mengah
Roji Santuy,Positif,Station terbesar twrkeren Dan terhebat yg pernah Ada di Indonesia Dan Asia..
Romi Jr.,Negatif,"Katanya transport kesana susah ya, minim transport umum massal. Seharusnya dipikirkan dari sekarang, diperbanyak transport massal umum, seharusnya akses lrt dan mrt sdh dipikirkan dari sekarang biar mengurangi penggunaan kendaraan pribadi yg menyebabkan kemacetan."
ronitopan8,Negatif,stadion mewah tpi GK bisa dipake dipildun u20
Rony Fajar,Positif,"Kalau malam bagus pemandangannya, lampunya nyala, warna warni lagi, tapi sayangnya, pas kesitu (malam) ga bisa masuk karena parkiran penuh."
Roséanne.,Negatif,Namanya stadion internasional tapi ada penjual asongan bisa masuk dan sangat mengganggu kenyamanan org yg duduk di tribun.
Rose Mary,Negatif,"buat apa sih itu stadion,,buat pajengan doang apa"
RosidReank,Negatif,wewwww..dewa 19 luar biasaa...band besar LEGEND
rossaanandabangun,Positif,Salah satu stadion termegah yang dimiliki oleh indonesia.GG kelaZZZZ
Royyan Saget,Negatif,jngn lupakan GBK
rozaq Aquatic,Positif,"Megah .Stadion terbesar di Indonesia berstandar Internasional .Kapasitas 80 ribuan orang, lebih besar dari GBK ."
RRAntr,Positif,Terbaik dan terpercaya
Rtp 138,Negatif,"Katanya ada isue Politik nih, alasan kenapa JIS gapernah di gunakan timnas. Apakah benar?"
Rubi Khoirur Rizqi,Negatif,nanti ambruk lagi. . .🤣🤣🤣🤣🤣🤣
Rucik Aja Dehh,Positif,salam damai Jak mania
RUDI _ GANSS,Negatif,ini stadion rubuh kan? 😳
Rudy Hartono,Positif,Terbesar di Asia Tenggara. Stadion yg memiliki atap buka tutup
rudy panjaitan,Positif,Keren bgt yakin... Bangga... Jaga Selalu kebersihan dan fasilitas nya Yuk....
rupa rupa MH channel,Positif,"Alhamdulillah bagus, cuma belum dalam keadaan bersih msh byk debu dimana2 tempat wudhu dan solat masih terbatas, karena masih dalam pembangunan juga, jd belum sempurna"
Ruri Hermawati,Negatif,"Akses transportasinya masih hrs diperbaiki.Tbh, masih belum bisa utk dijadikan tempat konser."
Ruth Stephanie,Negatif,"seumpama rumah"" sekitar jis direlokasi pasti tanahnya naik 10x lipat ..supaya bisa kias lahan parkir dan pintu masukny di tambah biar gak desak""an"
ruwet,Negatif,Bikin stadiun buat kompetisi bola ❌  bikin stadiun buat konser ✅
ruzt_5,Negatif,Alah stadion kurang bersih perawatan cuman 40%
Ryan Mawlana,Negatif,Santiago Bernabeu
Ryan Pratama,Negatif,mau nanya jis itu proyek spa Anies atau Sandiaga Uno
Ryan ygy,Positif,Stadion kualitas internasional. Akses mudah menggunakan kendaraan pribadi ataupun umum.Semoga bermanfaat untuk orang banyak.
ryanda adiguna,Negatif,gmasuk fifa krna stadion politik mungkin
RyanDexx😎,Negatif,JIS = MAHA KARYA ANIES BASWEDAN
Ryans,Negatif,Apakah penghasilan duit dari konser lebih besar daripada pada duit bola...??🤔
ryanwaroka,Negatif,Tempatnya belum rampung Mash proses pembangunan
Ryuakbar Kelana,Negatif,mntep ni buat konser🥲
ryujin similikiti,Positif,sumpah kuerennn kek luar negri
Rza,Positif,"kalo masalah bagus si bagusan jis,kalo buat sejarah si di GBK"
rzKY,Negatif,Cowo = Wih nonton bolaa. Cewe = Wih konser nih
s,Positif,"selamat buat warga terdekat, kalian punya museum baru 😂"
SafiqraArrahman,Positif,"bagus bangettt, tapi masih ada yang di bangun soalnya belum sah peresmiannya juga sih, luas bangett, penjagaannya juga oke bangett"
Safira nafis Audis,Positif,keren
Safna Salsabila406,Negatif,skrng stadion bukan buat maen bola Cok buat konser 😂😂
SAGITARIUS ✨,Positif,gw kira dikatar jir taunya😳
sahabat michat❤️💏,Negatif,Kenapa ndak masuk stadion yang akan di pake piala dunia..?
Sahrullah Sahrullah,Positif,"Megah, view dari luar gedung sangat memukau, cocok untuk selfie2. Catatannya: panitia waktu acara soft launching pertandingan Barcelona FC vs Atletico U18 kurang terkoordinasi dengan baik sehingga antrian penonton untuk masuk ke tribun terlalu lama dan crowded."
SAIFUDDIN SUHRI,Negatif,Minimal ada var lah om
SAIPUL ALAM,Negatif,Uda bagus cuman takut nya nanti pemilu 2024 pasti adakan kampanye di situ kebiasaan warga +62 ketika pemilu
Sajak'Elang 🦅,Positif,Sangat memukau di MLM hari
Salafy Good,Negatif,Kolam pun mendidih 😂
Salapantilu93,Positif,Jangan lupa kalian berterima kasih sama pak Anies dan jajarannya 🥰
Salapantilu93,Negatif,Cuman di sayang di bangun di daerah masih kumuh
Salimalayidrus Idrus,Negatif,Main antar desa aja disana😏
saling_berbagi,Positif,JIS sangat mengagumkan n begitu luas arenanya 👍👍
Salistyo Primi,Negatif,itumah lapangan buat konser sama kampanye doang
sam,Negatif,klo mau kesitu transportasinya pake kaki
Sam bogel,Positif,Keren banget ya tempatnya kmu wajib kesini ya buat konser dan acara olahraga pokoknya multievent ya
sam Soni,Positif,Dipikir² mirip stadion Allianz arena yaa😅
Sam'02 🔴⚪,Negatif,Stadion buat konser bukan buat persija.. Sewanya mihil
samiono mio,Negatif,Stadion buat konser bukan buat .. Sewanya mihil
samiono mio,Negatif,kurang kamera yang 👍
samuelo,Positif,megah si tp blm buat maen bola
san,Positif,"pemimpin yg amanah, rakyat akan merasakan keberkahannya, alam pun ikut mendukung.. yg terbaik PAK ANIES BASWEDAN. smg Allah SWT selalu melindungimu."
sandivelio,Positif,Pertama kali datang ke stadion ini benar benar berkelas seperti stadion di eropa. Kerenn.
Sandri Ramadhan,Positif,BOLA KAPAN bikin stadion buat konser doank sama acara nikahan😢
sandy_maulana11,Positif,Persija Susah Maen Di Sini.Efek Politik Gorong2
sandy_rxking,Positif,Sangat keren
SanG LeOni,Positif,"Keren karya anak bangsa, pekerjanya 100 indonesia"
Sang Pengembara,Negatif,segini bagusnya masih kurang standar fifa katanya pegawai PSSI
Sangrai,Negatif,rumput nya kayak liga tarkam lebih bagus GBK jauh
Sani Oktavian542,Negatif,hal yg di sayangkan jalan menuju JIS masih minim ditambah lahan parkir masih sedikit
Sann,Negatif,ith di sebelah timur nyh ada life nyh untuk naik ke atas
sansan98,Positif,"Stadionnya kerenn, memang standar internasional! Yg disayangkan cuma aksesnya, mosok keluar dr kawasan stadion cuma 1 pintu? Perlu ditambah biar ga numpuk. Alhamdulillah kemarin bubaran konser yg ribuan orang cukup tertib tapi ga terbayang kalo bubaran sepakbola. Apalagi kalo timnya kalah, bisa rusuh."
Santo Susanto,Negatif,Blm bisa di pakai untuk umum
santri songo,Negatif,Kerreen nih tambah lg..sp tau besok2 bs jd tuan rumah pildun .. hehee
sanubari malida,Negatif,"jaman Jokowi emng the best.. stadion, sirkuit motorgp"
Sanzz✈️,Positif,semalem aku liat yallah seneng bngt semoga jkt jadi tuan rumah yg ramah n saling merangkul semangat indonesia ku salam damai sepak bola
saptiriearie,Negatif,LCD pinggiran full keliling lagi yg kurang
SaputraTR,Positif,bernebu ke dua di Indonesia
saputro,Negatif,udaah keren keren gagal🙂
saputrra,Positif,pak anis terbaik👍
sarangmadu3,Positif,Keren...jarak pandang tribun kelapangan deket banget
Sarbis Channel,Positif,Mantap keren
Sarinah Sari,Negatif,saru yg sgt d kwatirkan. kwatir dijual. 😂😂
Sarwedi Wedi,Positif,Stadium nya gede banget kerennnnn
Sasa Mita,Positif,jakarta ya bukan eropa😁
sasaku72,Positif,kerrreeennn
sauqi_My,Negatif,temboknya masih rapuhhh..
Saw Basso,Negatif,PANASSSSSSSSSSSZZZZZZZZZZZZZZZZ
SAYA PENGANGGURAN,Positif,"Mantap,Cakep Dan Megah,Terima Kasih Pak Anies Rasyid Baswedan,Sehat Dan Sukses Selalu..."
Sayadi Kurdi,Positif,di liat langsung lebih megah 🥰
sayang,Positif,terlalu wow untuk negeri konoha . bangga sekali indonesia akhirnya mempunyai stadion kelas international
sayluph,Positif,JIS  Mantaap ...pak Anis Gubernur nya..
Sayuti Sayuti,Positif,Ini baru lapangan berkelass 👍👍👍👍👍
sebatastamu,Positif,Kereeen
Seftyana Kurniadewi,Negatif,"Toilet kacau bgt, air dikit"
sepoh | 光.,Positif,Bagus nya luar biasa
Septi legi Lestari,Positif,Fasilitas & lapangannya bagus sekali
Septyan Yudi,Negatif,suporter nya belum standar FIFA
Sesongot Uten183,Positif,Bangga punya stadion berkelas gini.......moga atlet nya juga bisa seirama. 👍🏻👍🏻👍🏻👍🏻
sestya fredinanto,Negatif,bukannya blm standar FIFA yaa kalo kata PSSI 😂
Setiawan Jovi,Positif,Tempatnya mantap sayang waktu datang belum bisa masuk
Setiawan San,Positif,"bagus sih, tapi bikinin aksesnya"
setiyabudiharyono0,Positif,"Bagus,, tinggal diajaga dan dirawat aja... Keren"
Shamuel Art,Positif,Alhamdulillah seneng berkunjung ke JIS tempat nya bagus 👍👍👍
Sheera Shop,Positif,Mantap stadium nya. Harap dijaga dan tidak di rosak oleh rakyat sendiri yahh
Shelby,Negatif,"stadium elit ,, tapi syuuuuliiiiiittttt"
sherlybear,Positif,"gak sesuai dengan standar viva.., harusnya atap stadionya dikasih jaring ky kali item..😂😂😂😂"
Shindy05,Positif,Keren
Shulung21,Positif,"Luar biasa kemegahan stadion JIS bikin negara tetangga melongo, bos FIFA sampai kejang-kejang liat bentuknya"
sibaku38,Negatif,Minus parkiran
Sigit Darma,Negatif,stadion politik
Sigma_Male,Positif,terbaik buat JIS warga Tangerang bangga ...terus lanjutkan
Signora,Negatif,"Tempat yang bagus,cuma kurang strategis"
Sihar Panaili,Negatif,kalau hujan gimana aman gk
Sihu.at .xx,Negatif,min pas hari H bisa parkir mobil/motor di JIS?
silfiarizkiani,Negatif,tempat luas banget hanya kekurangan toilet dan musholla agar tidak terlalu numpuk mengantri toilet
Silvia Silvia,Negatif,barusan lewat beranda gw rumput nya sama dengan rumput tarkam 😂
singgihsaepulrahm,Positif,"Satu-satunya stadion di Indonesia  berkelas Dunia, hebat maha karya anak bangsa Indonesia. Kreeeennnn"
Sipri m,Negatif,"bukan standar PSSI, soalnya standar PSSI stadion nya harus berlumpur dan becek saat dimainkan"
sirregar40,Positif,Akan menjadi mesin pencetak atlit bola bertaraf dunia...
Sisi Pandang,Negatif,Besar sekali tapi masih gersang dan pintu keluarnya agak susah. Tapi kayaknya karena kemaren acara konser dewa banyak pejabat yang datang jd pintu banyak yg ditutup
Sisi Pitsarak,Negatif,INI BUKAN STANDART PSSI !!!
Siti Kurniasih,Positif,Excited. Excellent. Keren banget. Terima kasih banyak Bapak Anies Baswedan Gubernur DKI Jakarta.
Siti Rohimah TKN,Positif,"Luas banget dan tempatnya sangat strategis untuk kendaraan umum, kalo mau naik transjakarta bisa transit dr harmoni, lalu ke tujuan JIS , banyak jajanan juga sekitar situ, recommended !"
Sitimunfiah 97,Negatif,kameranya klo diganti ama kamera liga inggris mantap tuh
SIUU,Positif,gw org Medan jalan² ke jakarta bulan lalu pas lewan tol tpriok besar bgnt ni stadion kami org Medan merasa iri liat stadion semegah ini
SKIDIPAPAP,Negatif,"tidak setara pssi, jadi setara dengnan std pakan sari?"
skti,Positif,Stadium jis bagus cantik gilerr
SLN Toko,Negatif,stadion elit rumput sulitt
slowbrow,Positif,Sangat megah
Snank Ramadan,Positif,Karya anak bangsa yang akan dilihat dunia 🇮🇩🏆
sobat kicau channel,Positif,andai warga nya tertib pasti di ijinin main disni
sobirin ansori (Sob),Positif,"Kereeen, JIS stadion termegah"
SODIKIN 4T,Positif,Tak kirain di luar negeri .
soearif15,Positif,"Lumayan, pas awal"" masuk capek naik tangga terus sama lumayan kotor"
Song,Positif,Walaupun blm sempurna jis akan menjadi salah satu stadium termegah diindonesia khususnya jakarta
sonny Firmansyah,Positif,KEREN..PIALA DUNIA HARUS DI JIS
Spryd.priii,Positif,Sangat megah....mantap
Sri rudy Purningsih,Positif,"Tempat nyaman, luas buat acara apa aja."
SRI WATI,Positif,"Tempatnya luar biasa megah, rapi dan nyaman"
Sriyanto,Positif,Sayang banget stadion sebagus jis ini tidak dipakai nanti piala Dunia U20.
sssssst,Negatif,Min fungsi stadion itu buat sepakbola/konser si??
Struggle,Positif,"Stadion bertaraf Internasional, bisa untuk kegiatan keagamaan."
Su Darna,Positif,Mantap terima kasih banyak pak Anies dan jajarannya sdh bikin icon baru utk ibukota
Su Trisno,Positif,Berkelas banget nih stadion.... Berasa di stadion luar negeri
Suaeb Rizal,Negatif,kalah jauh sama stadion di qatar🗿
sucivia,Positif,Stadion megah di Utara Jakarta... keren
Sudi Yanto,Positif,Bagus
Sugi Arto,Positif,"Stadion sepakbola yg cukup megah, namun belum tersertifikasi baik oleh PSSI apalagi FIFA"
Sugi ono,Negatif,Jalan menuju tempat agak sedikit macet
Sugi Yanto,Positif,"semoga bisa bawa keberkahan buat semua warga indonesiaMerekatkan yg renggang, menyatukan yg terserak, saling menjaga utk indonesia emas....amiin"
sugima jpng,Positif,Semoga Dapat Bermanfaat Banyak Bagi Warga DKI JakartaMaju Kotanya Bahagia Warganya
Suhendri Pondok Bambu,Negatif,jis parkiran sulit bos ku
Suka Begadang,Positif,"Masih proses...pas lewat, tapi dari bentuknya berkelas internasional"
SUKARJONO Sukarjono,Negatif,tapi gak di pakai di piala dunia u 20 di indonesia😁
Sukur Tungkal,Positif,Stadion mana yg dibuat sampai memperhatikan garis shaf untuk sholatMasyaAllah Barakallah Tabarakallah
Sulboy channel,Positif,JIS sekelas champions league Asia piala Asia worldcup dll untuk aff cup cukup di gbk sj
Sulemandara A-Z,Positif,"Tempatnya luas, nyamanParkiran luasStandar internasional cocok untuk acra musik kelas dunia"
Sulis Trianingsih,Positif,stadium international standar internasional sudah di coba konpetisi sepak bola u 19
Sumadi Ady,Negatif,"Tidak standar pssi,harus ada sawah nya🗿"
Sumanto,Positif,Keren👍👍
Sumarlin Sumarlin,Positif,Jis buat joging jln santai dan gowes walaupun blm boleh msk  mantap bro
suparman,Positif,"Amazing, perasaan gue waktu kunjungan di stdion bercelona jadinya JIS lebih bagus deh heheh"
Suparno Bpk,Positif,Bagus
Supendi Pendi,Positif,Sarana lari pagi yg nyaman dan aman
Supertetra HCI,Positif,"Keren, bagus tapi tempat parkir kurang luas untuk bis"
Suprianto Yanto,Positif,"Enak main di lapangan latihan 1, rumputnya rapi dan bisa foto latar JIS."
Supriyansyah -,Positif,"Stadion terbesar di Indonesia,tapi sangat di sayangkan di bawah tribun banyak balok beton melingkari stadion,gak enak di pandang mata,,"
